Ats System Code,Location Code,Location Name,Beds Number,Managed By Name,Location Type Description,School Type,Has A Kinder Garden,Has A Pre K,Grades At The School,Date The School Building Opened,Year The School Building Opened,Age of The School Building,X Coordinate,Y Coordinate,Community District,Council District,Census Tract,Borough Block Lot,NTA,Neighborhood,Principal Name,Geographical District Code,Admin District Location Code,Lat,Lon,Pre K Seats Available,Pre K Applicants,Pre K offers,Pre K Admissions Rate,Kindergarten Seats Available,Kindergarten Applicants,Kindergarten offers,Kindergarten Admissions Rate,Grade 6 Seats Available,Grade 6 Applicants,Grade 6 offers,Grade 6 Admissions Rate,Grade 9 Seats Available,Grade 9 Applicants,Grade 9 offers,Grade 9 Admissions Rate, Pre K Total Enrollment Including Half Day And Full Day,Number of Female Students in Prek,Percentage of Female Students in Prek,Number of Male Students in Prek,Percentage of Male Students in Prek,Number of Asian Students in Prek,Percentage of Asian Students in Prek,Number of Black Students in Prek,Percentage of Black Students in Prek,Number of Hispanic Students in Prek,Percentage of Hispanic Students in Prek,Number of Students with a Race listed as Other in Prek,Percentage of Students with a Race listed as Other in Prek,Number of White Students in Prek,Percentage of White Students in Prek,Number of K Through 8 Students Who Passed The State English Language Arts Exams,Percentage of K Through 8 Students Who Passed The State English Language Arts Exams,Number of K Through 8 Students Who Passed The State Math Exam,Percentage of K Through 8 Students Who Passed The State Math Exam,Does the Schol Have A Gifted And Talented Program,Total Number of Removals and Suspensions,Kindergarten General Education Average Class Size,Kindergarten Integrated Co-Teaching And Gifted and Talented Average Class Size ,Kindergarten Gifted and Talented Average Class Size ,Kindergarten Integrated Co-Teaching Average Class Size ,Full Time Licensed Pe Teachers,Type of Physical Education Space,Is Physical Education Space Shared With Other Schools,Is the Physical Education Space Inside or Outside,Is Physical Education Space Space Used For Any Other Purpose Beside Physical Education,Does the School have an Auditorium,Does the School have a Library,"Total Number of Teachers, Administrators and Support Staff",Total Expense Budget,PTA Funding,PTA Funding Per Student,Total Enrollment,Number of Students In Grade K,Number of Students In Grade 1,Number of Students In Grade 2,Number of Students In Grade 3,Number of Students In Grade 4,Number of Students In Grade 5,Number of Students In Grade 6,Number of Students In Grade 7,Number of Students In Grade 8,Number of Students In Grade 9,Number of Students In Grade 10,Number of Students In Grade 11,Number of Students In Grade 12,Number of Female Students,Percentage of Female Students,Number of Male Students,Percentage of Male Students,Number of Asian Students,Percentage of Asian Students,Number of Black Students,Percentage of Black Students,Number of Hispanic Students,Percentage of Hispanic Students,Number of Multiple Race Categories Not Represented,Percentage of Multiple Race Categories Not Represented,Number of White Students,Percentage of White Students,Number of Students With Disabilities,Percentage of Students With Disabilities,Number of English Language Learners,Percentage of English Language Learners,Number of Students In Poverty,Percentage of  Students In Poverty,Economic Need Index,Average Daily Breakfast Participation,Average Daily Lunch Participation,Number of Salad Bars,Elementary Admissions Methods,Elementary School Admissions Methods Description,Does the School have a Gifted and Talented Program in Kindergarten,Did The School Make offers To Students Who Live Outside The Zone,Type of Dual Language Programs,Phone Number,Address,Number of Guidance Counselors,Number of Social Workers,Is the School Co Located,How Accessible is the School,All Four Arts Disciplines Provided to Grades 1 through 5
01M184,M184,P.S. 184m Shuang Wen,310000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",36333,1999,19,988287,198359,103,1,201,1002450007,MN28,Lower East Side                                                            ,Iris Chiu,1,M801,40.711125,-73.985438,36,133,36,27.07%,75,240,65,27.08%,93,316,112,0.35443038,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,35,16,45.71%,19,54.29%,22,62.86%,suppressed for privacy concerns,suppressed for privacy concerns,9,25.71%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,315,71.43%,351,78.88%,NO,0,24,0,0,24,2,MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,NO,NO,79,7576339,0,0,684,72,69,54,72,65,53,94,83,87,0,0,0,0,341,49.85%,343,50.15%,475,69.44%,25,3.65%,92,13.45%,42,6.14%,50,7.31%,113,16.52%,103,15.06%,462,67.54%,0.6399868131,114,445,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,CHINESE,212-602-9700,"327 CHERRY STREET, MANHATTAN NY 10002",2,0,NO,Partially Accessible,No
01M188,M188,P.S. 188 The Island School,310000000000,DOE,General Academic,K-8,YES,YES,"PK,0K,01,02,03,04,05,06,07,08,SE",1644,1904,114,990520,201552,103,2,2000,1003560100,MN28,Lower East Side                                                            ,Suany Ramos,1,M801,40.719888,-73.97738,18,50,14,28.00%,50,74,29,39.19%,47,101,49,0.485148515,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,19,9,47.37%,10,52.63%,suppressed for privacy concerns,suppressed for privacy concerns,7,36.84%,10,52.63%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,115,40.49%,87,30.42%,NO,75,16,0,0,21,1,MULTI-PURPOSE ROOM,Y,Inside,Y,NO,NO,67,6098584,0,0,433,37,40,43,43,47,42,47,55,60,0,0,0,0,185,42.73%,248,57.27%,8,1.85%,127,29.33%,286,66.05%,0,0.00%,12,2.77%,126,29.10%,69,15.94%,396,91.45%,0.9531062245,199,283,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,SPANISH,212-677-5710,"442 EAST HOUSTON STREET, NEW YORK NY 10002",2,1,YES,Fully Accessible,No
01M315,M315,The East Village Community School,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",36342,1999,19,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,Bradley Goodman,1,M801,40.727537,-73.978254,36,226,36,15.93%,50,324,56,17.28%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,19,52.78%,17,47.22%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,8,22.22%,suppressed for privacy concerns,suppressed for privacy concerns,19,52.78%,68,62.39%,73,68.22%,NO,6,21,0,0,25,1,AUXILIARY EXERCISE ROOM,Y,Inside,N,NO,NO,40.2,3217099,0,0,318,46,50,50,48,40,48,0,0,0,0,0,0,0,161,50.63%,157,49.37%,32,10.06%,17,5.35%,64,20.13%,22,6.92%,183,57.55%,55,17.30%,4,1.26%,80,25.16%,0.3509968519,40,106,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-982-0682,"610 EAST  12 STREET, MANHATTAN NY 10009",1,0,YES,Not Accessible,No
01M361,M361,The Children's Workshop School,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",36342,1999,19,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,MARIA VELEZ CLARKE,1,M801,40.727537,-73.978254,36,225,36,16.00%,75,292,73,25.00%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,22,61.11%,14,38.89%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,16,44.44%,suppressed for privacy concerns,suppressed for privacy concerns,12,33.33%,66,70.21%,52,53.06%,NO,0,18.5,0,0,19,0,AUXILIARY EXERCISE ROOM,Y,Inside,N,NO,NO,38.9,3785990,0,0,315,57,61,48,46,35,32,0,0,0,0,0,0,0,146,46.35%,169,53.65%,31,9.84%,29,9.21%,124,39.37%,20,6.35%,111,35.24%,67,21.27%,9,2.86%,142,45.08%,0.4901460409,31,124,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-614-9531,"610 EAST  12 STREET, MANHATTAN NY 10009",0,0,YES,Not Accessible,No
01M363,M363,Neighborhood School,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",36342,1999,19,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,Dyanthe Spielberg,1,M801,40.72444,-73.986214,36,234,36,15.38%,100,283,45,15.90%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,11,61.11%,7,38.89%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,6,33.33%,suppressed for privacy concerns,suppressed for privacy concerns,10,55.56%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,NO,0,12.33333,0,0,19,1,DANCE ROOM,Y,Inside,N,NO,NO,41.3,3534254,16217,53.34539474,304,56,50,49,51,43,37,0,0,0,0,0,0,0,149,49.01%,155,50.99%,19,6.25%,28,9.21%,106,34.87%,11,3.62%,140,46.05%,64,21.05%,11,3.62%,133,43.75%,0.4804638028,80,109,3,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-387-0195,"121 EAST  3 STREET, MANHATTAN NY 10009",1,0,YES,Not Accessible,No
01M364,M364,Earth School,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",36342,1999,19,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,ABBE FUTTERMAN,1,M801,40.72313,-73.981597,36,237,36,15.19%,75,327,73,22.32%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,35,19,54.29%,16,45.71%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,13,37.14%,suppressed for privacy concerns,suppressed for privacy concerns,13,37.14%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,NO,Redacted for privacy concerns,21,0,0,20,0,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,NO,NO,45,4112710,31403,88.45915493,355,62,53,47,55,51,52,0,0,0,0,0,0,0,161,45.35%,194,54.65%,24,6.76%,40,11.27%,139,39.15%,31,8.73%,121,34.08%,91,25.63%,21,5.92%,188,52.96%,0.5370957851,23,161,1,Non-Zoned,No preference for kids who live in the zone,No,No Data,NONE,212-477-1735,"600 EAST  6 STREET, MANHATTAN NY 10009",1,0,YES,Not Accessible,No
01M539,M539,"New Explorations into Science, Technology and Math",310000000000,DOE,General Academic,K-12 all grades,YES,NO,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",36708,2000,18,989910,201380,103,2,2201,1003350001,MN28,Lower East Side                                                            ,MARK BERKOWITZ,1,HS04,40.719416,-73.979581,No Pre K,No Pre K,No Pre K,No Pre K,No Data,No Data,No Data,No Data,150,4005,163,0.040699126,160,5741,512,0.089183069,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,746,96.01%,612,95.63%,YES,32,0,0,25,0,6,MULTI-PURPOSE CLASSROOM,N,Inside,Y,NO,NO,127,11163351,431755,248.9936563,1734,100,116,149,122,116,112,152,149,136,145,163,146,128,831,47.92%,903,52.08%,575,33.16%,134,7.73%,204,11.76%,129,7.44%,692,39.91%,139,8.02%,14,0.81%,395,22.78%,0.278455019,171,607,2,Citywide G&T,,Yes,No Data,NONE,212-677-5190,"111 COLUMBIA STREET, MANHATTAN NY 10002",5,0,NO,Not Accessible,No
02M001,M001,P.S. 001 Alfred E. Smith,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",-547,1898,120,984949,198878,103,1,2700,1002790040,MN27,Chinatown                                                                  ,AMY HOM,2,M802,40.71255,-73.997478,54,111,50,45.05%,75,144,36,25.00%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,24,13,54.17%,11,45.83%,10,41.67%,7,29.17%,7,29.17%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,77,51.68%,81,53.64%,NO,0,14,0,0,16,1,ADAPTIVE PHYSICAL EDUCATION,N,Inside,N,NO,NO,47.6,4681945,0,0,318,44,51,46,47,55,51,0,0,0,0,0,0,0,158,49.69%,160,50.31%,170,53.46%,56,17.61%,82,25.79%,4,1.26%,6,1.89%,81,25.47%,64,20.13%,250,78.62%,0.8269308209,95,269,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,CHINESE,212-267-4133,"8 HENRY STREET, MANHATTAN NY 10038",1,0,NO,Not Accessible,Yes
02M002,M002,P.S. 002 Meyer London,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",21367,1958,60,986600,199008,103,1,600,1002730001,MN28,Lower East Side                                                            ,Silvana Ng,2,M802,40.712907,-73.991523,36,107,33,30.84%,100,175,71,40.57%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,22,12,54.55%,10,45.45%,14,63.64%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,165,62.26%,192,72.45%,NO,Redacted for privacy concerns,21.5,0,0,21.5,0,GYMNASIUM,N,Inside,N,NO,NO,81.4,7159509,0,0,552,88,69,81,79,93,120,0,0,0,0,0,0,0,261,47.28%,291,52.72%,434,78.62%,29,5.25%,82,14.86%,2,0.36%,5,0.91%,119,21.56%,180,32.61%,533,96.56%,0.9019112587,124,471,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-964-0350,"122 HENRY STREET, MANHATTAN NY 10002",1,0,NO,Not Accessible,No
02M003,M003,P.S. 003 Charrette School,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",2009,1905,113,982601,206184,102,3,7300,1005850041,MN23,West Village                                                               ,LISA SIEGMAN,2,M802,40.732603,-74.005949,54,317,54,17.03%,125,416,127,30.53%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,54,19,35.19%,35,64.81%,7,12.96%,suppressed for privacy concerns,suppressed for privacy concerns,7,12.96%,suppressed for privacy concerns,suppressed for privacy concerns,39,72.22%,211,71.77%,219,76.57%,NO,9,25.2,0,0,0,0,DANCE ROOM,N,Inside,N,NO,NO,78,7119119,0,0,753,126,134,113,98,120,108,0,0,0,0,0,0,0,369,49.00%,384,51.00%,65,8.63%,43,5.71%,104,13.81%,39,5.18%,502,66.67%,139,18.46%,24,3.19%,157,20.85%,0.1897184551,103,306,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-691-1183,"490 HUDSON STREET, MANHATTAN NY 10014",0.4,2,NO,Not Accessible,Yes
02M006,M006,P.S. 006 Lillie D. Blake,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",19541,1953,65,995210,222630,108,4,14200,1014930021,MN40,Upper East Side-Carnegie Hill                                              ,LAUREN FONTANA,2,M802,40.777737,-73.960427,72,647,72,11.13%,100,875,155,17.71%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,78,38,48.72%,40,51.28%,17,21.79%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,53,67.95%,274,90.13%,278,90.85%,NO,6,25,0,0,25,1,GYMNASIUM,N,Inside,N,NO,NO,64.6,6391838,238026,342.9769452,694,100,105,93,97,106,115,0,0,0,0,0,0,0,340,48.99%,354,51.01%,103,14.84%,17,2.45%,45,6.48%,12,1.73%,517,74.50%,102,14.70%,20,2.88%,80,11.53%,0.122948125,81,203,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,212-452-6650,"45 EAST  81 STREET, MANHATTAN NY 10028",1,1,NO,Not Accessible,No
02M011,M011,P.S. 011 William T. Harris,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",9314,1925,93,984044,210404,104,3,8900,1007440024,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,ROBERT BENDER,2,M802,40.744186,-74.000743,18,272,18,6.62%,125,404,131,32.43%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,18,9,50.00%,9,50.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,12,66.67%,318,71.78%,327,73.48%,YES,12,23,0,24,23,2,DANCE ROOM,N,Inside,N,NO,NO,86,7603525,0,0,923,140,155,146,131,150,183,0,0,0,0,0,0,0,463,50.16%,460,49.84%,146,15.82%,57,6.18%,223,24.16%,60,6.50%,437,47.35%,122,13.22%,30,3.25%,271,29.36%,0.3360238373,104,354,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,N,NONE,212-929-1743,"320 WEST  21 STREET, MANHATTAN NY 10011",1,1,NO,Not Accessible,No
02M033,M033,P.S. 033 Chelsea Prep,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",18810,1951,67,984184,212163,104,3,9700,1007240023,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Chingchien Wang,2,M802,40.749014,-74.000238,36,228,36,15.79%,50,214,59,27.57%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,18,50.00%,18,50.00%,8,22.22%,suppressed for privacy concerns,suppressed for privacy concerns,11,30.56%,suppressed for privacy concerns,suppressed for privacy concerns,9,25.00%,203,67.00%,193,64.77%,YES,13,23,0,23.5,0,1,GYMNASIUM,Y,Inside,N,NO,NO,66,5617493,80000,123.0769231,650,100,96,98,121,102,97,0,0,0,0,0,0,0,342,52.62%,308,47.38%,147,22.62%,117,18.00%,183,28.15%,54,8.31%,149,22.92%,101,15.54%,29,4.46%,309,47.54%,0.4934692383,157,314,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,N,NONE,212-244-6426,"281 9 AVENUE, MANHATTAN NY 10001",1,0,YES,Fully Accessible,No
02M040,M040,P.S. 040 Augustus Saint-Gaudens,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",-182,1899,119,989367,207177,106,2,6400,1009250012,MN21,Gramercy                                                                   ,SUSAN FELDER,2,M802,40.735328,-73.981536,36,302,36,11.92%,125,455,160,35.16%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,22,61.11%,14,38.89%,6,16.67%,suppressed for privacy concerns,suppressed for privacy concerns,8,22.22%,suppressed for privacy concerns,suppressed for privacy concerns,19,52.78%,245,88.77%,246,88.49%,NO,9,25.5,0,0,26,0,GYMNASIUM,Y,Inside,N,NO,NO,55,5837483,266086,395.3729569,673,127,125,96,96,97,96,0,0,0,0,0,0,0,346,51.41%,327,48.59%,80,11.89%,10,1.49%,95,14.12%,73,10.85%,415,61.66%,107,15.90%,21,3.12%,63,9.36%,0.158769682,61,304,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Zoned Waitlist,NONE,212-475-5500,"320 EAST 20TH STREET, MANHATTAN NY 10003",0,2,YES,Not Accessible,Yes
02M041,M041,P.S. 041 Greenwich Village,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",21367,1958,60,984501,207221,102,3,7100,1006060049,MN23,West Village                                                               ,KELLY SHANNON,2,M802,40.73545,-73.999094,36,440,36,8.18%,125,632,128,20.25%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,21,58.33%,15,41.67%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,27,75.00%,266,85.53%,272,86.90%,NO,0,23.5,0,0,25,0,DANCE ROOM,N,Inside,N,NO,NO,68.4,6120575,236326,340.5273775,694,119,100,119,90,123,107,0,0,0,0,0,0,0,376,54.18%,318,45.82%,54,7.78%,9,1.30%,72,10.37%,80,11.53%,479,69.02%,101,14.55%,11,1.59%,60,8.65%,0.07278098166,38,271,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-675-2756,"116 WEST  11 STREET, MANHATTAN NY 10011",1.2,1,NO,Not Accessible,Yes
02M042,M042,P.S. 042 Benjamin Altman,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",-182,1899,119,986793,200181,103,1,1600,1003090001,MN27,Chinatown                                                                  ,May Lee,2,M802,40.716126,-73.990826,54,143,53,37.06%,125,248,94,37.90%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,42,17,40.48%,25,59.52%,27,64.29%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,8,19.05%,178,60.14%,230,76.16%,NO,Redacted for privacy concerns,21,0,0,24,0,GYM/CAFETERIA,N,Inside,Y,NO,NO,74,7655835,0,0,653,112,99,95,90,86,129,0,0,0,0,0,0,0,307,47.01%,346,52.99%,579,88.67%,9,1.38%,44,6.74%,5,0.77%,16,2.45%,110,16.85%,225,34.46%,493,75.50%,0.8163139224,127,597,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-226-8410,"71 HESTER STREET, MANHATTAN NY 10002",0,2,NO,Not Accessible,Yes
02M051,M051,P.S. 051 Elias Howe,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",2009,1905,113,985501,216735,104,3,12900,1010730014,MN15,Clinton                                                                    ,Ryan Bourke,2,M802,40.761487,-73.995825,72,175,72,41.14%,75,174,92,52.87%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,68,30,44.12%,38,55.88%,16,23.53%,suppressed for privacy concerns,suppressed for privacy concerns,20,29.41%,suppressed for privacy concerns,suppressed for privacy concerns,21,30.88%,72,45.28%,68,40.96%,NO,Redacted for privacy concerns,21.5,0,0,24,1,GYM/AUDITORIUM,Y,Inside,Y,NO,NO,65,5869248,40565,89.54746137,453,66,73,62,59,64,61,0,0,0,0,0,0,0,232,51.21%,221,48.79%,81,17.88%,72,15.89%,205,45.25%,14,3.09%,81,17.88%,90,19.87%,35,7.73%,265,58.50%,0.5998388529,151,355,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,Yes,NONE,212-315-7160,"525 WEST 44TH STREET, MANHATTAN NY 10036",0,1,YES,Fully Accessible,No
02M059,M059,P.S. 059 Beekman Hill International,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",22098,1960,58,993533,215912,106,4,10800,1013300013,MN19,Turtle Bay-East Midtown                                                    ,ADELE SCHROETER,2,M802,40.759248,-73.967204,18,466,18,3.86%,125,548,141,25.73%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,20,11,55.00%,9,45.00%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,15,75.00%,199,82.57%,203,83.54%,NO,8,23.5,0,0,24,1,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y,NO,NO,58,5105359,190846,310.8241042,614,118,104,112,101,62,97,0,0,0,0,0,0,0,313,50.98%,301,49.02%,108,17.59%,8,1.30%,64,10.42%,57,9.28%,377,61.40%,92,14.98%,23,3.75%,54,8.79%,0.08012378216,41,183,2,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,212-888-7870,"231-249 EAST 56 STREET, MANHATTAN NY 10019",1,1,YES,Fully Accessible,No
02M077,M077,P.S. 77 Lower Lab School,310000000000,DOE,General Academic,Elementary,YES,NO,"0K,01,02,03,04,05",36342,1999,19,997980,225284,108,5,15801,1015240023,MN40,Upper East Side-Carnegie Hill                                              ,Sandra Miller,2,M802,40.785018,-73.95042,No Pre K,No Pre K,No Pre K,No Pre K,No Data,No Data,No Data,No Data,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,184,100.00%,182,98.91%,YES,9,0,0,25,0,1,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,NO,NO,27.2,2749813,322879,901.896648,358,50,60,64,64,63,57,0,0,0,0,0,0,0,174,48.60%,184,51.40%,112,31.28%,1,0.28%,22,6.15%,42,11.73%,181,50.56%,34,9.50%,0,0.00%,20,5.59%,0.09441061318,33,139,1,G&T Only,schools that exclusively offer Gifted & Talented programming and eligibility is determined by test score,Yes,No Data,NONE,212-427-2798,"1700 3 AVENUE, MANHATTAN NY 10128",1,0,YES,Not Accessible,No
02M089,M089,P.S. 89,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,06,SE",35977,1998,20,980378,200503,101,1,31703,1000160221,MN25,Battery Park City-Lower Manhattan                                          ,VERONICA NAJJAR,2,M802,40.71701,-74.013967,36,371,36,9.70%,100,536,119,22.20%,No Data,No Data,No Data,No Data,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,36,18,50.00%,18,50.00%,8,22.22%,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,suppressed for privacy concerns,6,16.67%,20,55.56%,149,87.65%,150,85.71%,NO,0,24.33333,0,0,24,0,DANCE ROOM,Y,Inside,N,NO,NO,50.4,4791629,460000,1062.355658,433,97,64,53,62,76,45,0,0,0,0,0,0,0,212,48.96%,221,51.04%,75,17.32%,7,1.62%,62,14.32%,34,7.85%,255,58.89%,59,13.63%,20,4.62%,85,19.63%,0.06938106567,15,121,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",No,N,NONE,212-571-5659,"201 WARREN STREET, MANHATTAN NY 10282",0.6,1,YES,Fully Accessible,No
02M111,M111,P.S. 111 Adolph S. Ochs,310000000000,DOE,General Academic,Elementary,YES,YES,"PK,0K,01,02,03,04,05,SE",21367,1958,60,987082,218308,104,3,13300,1010620003,MN15,Clinton                                                                    ,Edward Gilligan,2,M802,40.76588,-73.989776,54,150,54,36.00%,50,155,108,69.68%,No 6 grade,No 6 grade,No 6 grade,No 6 grade,No 9 Grade,No 9 Grade,No 9 Grade,No 9 Grade,46,23,50.00%,23,50.00%,8,17.39%,suppressed for privacy concerns,suppressed for privacy concerns,18,39.13%,suppressed for privacy concerns,suppressed for privacy concerns,13,28.26%,69,46.62%,65,43.92%,YES,25,19,0,19,19,1,GYMNASIUM,Y,Inside,N,NO,NO,56,5363582,0,0,395,58,48,76,51,58,58,0,0,0,0,0,0,0,177,44.81%,218,55.19%,66,16.71%,59,14.94%,188,47.59%,15,3.80%,67,16.96%,80,20.25%,49,12.41%,238,60.25%,0.6166835427,85,241,1,Zoned,"kids who live in the zone, particularly those with siblings, have the highest priority to attend",Yes,Yes,NONE,212-582-7420,"440 WEST  53 STREET, MANHATTAN NY 10019",1,1,NO,Not Accessible,No
